d_m,d_nm,lambda_product_hz,lambda_bell_hz,bell_over_product,protection_fraction
1.043235e-06,1043.2348,1.265784e+03,1.264659e+03,0.999111,0.000889
1.056903e-06,1056.9028,1.265784e+03,1.264702e+03,0.999145,0.000855
1.070750e-06,1070.7498,1.265784e+03,1.264744e+03,0.999178,0.000822
1.084778e-06,1084.7782,1.265784e+03,1.264784e+03,0.999210,0.000790
1.098990e-06,1098.9904,1.265784e+03,1.264822e+03,0.999240,0.000760
1.113389e-06,1113.3888,1.265784e+03,1.264859e+03,0.999270,0.000730
1.127976e-06,1127.9759,1.265784e+03,1.264895e+03,0.999298,0.000702
1.142754e-06,1142.7541,1.265784e+03,1.264929e+03,0.999325,0.000675
1.157726e-06,1157.7259,1.265784e+03,1.264962e+03,0.999351,0.000649
1.172894e-06,1172.8938,1.265784e+03,1.264994e+03,0.999376,0.000624
1.188260e-06,1188.2605,1.265784e+03,1.265024e+03,0.999400,0.000600
1.203828e-06,1203.8285,1.265784e+03,1.265053e+03,0.999423,0.000577
1.219600e-06,1219.6004,1.265784e+03,1.265081e+03,0.999445,0.000555
1.235579e-06,1235.5790,1.265784e+03,1.265108e+03,0.999466,0.000534
1.251767e-06,1251.7670,1.265784e+03,1.265134e+03,0.999487,0.000513
1.268167e-06,1268.1670,1.265784e+03,1.265159e+03,0.999507,0.000493
1.284782e-06,1284.7819,1.265784e+03,1.265183e+03,0.999526,0.000474
1.301614e-06,1301.6145,1.265784e+03,1.265206e+03,0.999544,0.000456
1.318668e-06,1318.6676,1.265784e+03,1.265229e+03,0.999561,0.000439
1.335944e-06,1335.9441,1.265784e+03,1.265250e+03,0.999578,0.000422
1.353447e-06,1353.4470,1.265784e+03,1.265271e+03,0.999594,0.000406
1.371179e-06,1371.1791,1.265784e+03,1.265290e+03,0.999610,0.000390
1.389144e-06,1389.1437,1.265784e+03,1.265309e+03,0.999625,0.000375
1.407344e-06,1407.3435,1.265784e+03,1.265327e+03,0.999639,0.000361
1.425782e-06,1425.7818,1.265784e+03,1.265345e+03,0.999653,0.000347
1.444462e-06,1444.4617,1.265784e+03,1.265362e+03,0.999667,0.000333
1.463386e-06,1463.3863,1.265784e+03,1.265378e+03,0.999679,0.000321
1.482559e-06,1482.5589,1.265784e+03,1.265394e+03,0.999692,0.000308
1.501983e-06,1501.9826,1.265784e+03,1.265409e+03,0.999704,0.000296
1.521661e-06,1521.6609,1.265784e+03,1.265423e+03,0.999715,0.000285
1.541597e-06,1541.5969,1.265784e+03,1.265437e+03,0.999726,0.000274
1.561794e-06,1561.7941,1.265784e+03,1.265450e+03,0.999736,0.000264
1.582256e-06,1582.2560,1.265784e+03,1.265463e+03,0.999747,0.000253
1.602986e-06,1602.9859,1.265784e+03,1.265475e+03,0.999756,0.000244
1.623987e-06,1623.9874,1.265784e+03,1.265487e+03,0.999766,0.000234
1.645264e-06,1645.2641,1.265784e+03,1.265499e+03,0.999775,0.000225
1.666820e-06,1666.8195,1.265784e+03,1.265510e+03,0.999783,0.000217
1.688657e-06,1688.6574,1.265784e+03,1.265520e+03,0.999792,0.000208
1.710781e-06,1710.7813,1.265784e+03,1.265530e+03,0.999800,0.000200
1.733195e-06,1733.1951,1.265784e+03,1.265540e+03,0.999807,0.000193
1.755903e-06,1755.9026,1.265784e+03,1.265549e+03,0.999815,0.000185
1.778908e-06,1778.9075,1.265784e+03,1.265558e+03,0.999822,0.000178
1.802214e-06,1802.2139,1.265784e+03,1.265567e+03,0.999829,0.000171
1.825826e-06,1825.8256,1.265784e+03,1.265575e+03,0.999835,0.000165
1.849747e-06,1849.7466,1.265784e+03,1.265583e+03,0.999842,0.000158
1.873981e-06,1873.9811,1.265784e+03,1.265591e+03,0.999848,0.000152
1.898533e-06,1898.5330,1.265784e+03,1.265598e+03,0.999853,0.000147
1.923407e-06,1923.4067,1.265784e+03,1.265606e+03,0.999859,0.000141
1.948606e-06,1948.6062,1.265784e+03,1.265612e+03,0.999864,0.000136
1.974136e-06,1974.1359,1.265784e+03,1.265619e+03,0.999870,0.000130
2.000000e-06,2000.0000,1.265784e+03,1.265625e+03,0.999875,0.000125
